store_id,uptime_last_hour(in minutes),uptime_last_day(in hours),update_last_week(in hours),downtime_last_hour(in minutes),downtime_last_day(in hours),downtime_last_week(in hours)
7206381619567002665,6,6,28,54,7,50
5091709972241384490,8,10,41,52,6,55
1096872701492823086,8,0,0,52,0,0
4291270489394381868,11,5,19,49,6,43
5454071307462509613,57,0,0,3,0,0
8250792191506580526,7,17,68,53,0,30
1919567607763993652,9,5,13,51,6,53
8363926518510945331,30,0,9,30,10,77
6530239491569517622,12,3,14,48,0,4
466834410540172344,42,5,25,18,6,43
7114973886890345527,2,0,4,58,0,25
6477640881580409912,56,0,0,4,1,20
2858699298690958393,51,0,0,9,23,138
452699122084283456,9,11,50,51,6,52
1744483568407217219,2,20,83,58,3,55
4289530848721929282,58,19,36,2,4,33
6029749917054207043,59,0,0,1,0,0
8108334374672630851,29,0,3,31,2,9
4894895496272053315,1,9,38,59,6,52
3595695187666732104,10,6,31,50,6,41
3451377844596409416,57,20,83,3,3,55
5203788817245766728,55,0,3,5,11,66
1300195604760986700,52,5,44,8,2,30
7490086744242095178,2,19,82,58,4,56
4424946105527141451,5,7,30,55,1,33
1281369870889059404,55,0,0,5,10,59
6497999077891507278,9,15,62,51,0,28
8888649652955251789,45,3,13,15,0,5
1486114202447742034,48,0,0,12,23,138
4698536436295173203,5,1,4,55,0,16
7811106495699256403,5,1,3,55,0,3
8488950128828023892,2,0,0,58,0,0
8470714152989033556,2,5,26,58,6,42
1527325327941600342,7,5,34,53,6,44
4426585115255407705,12,20,84,48,3,54
5477832915182257236,52,0,2,8,8,46
4004648968882062427,11,0,2,49,12,80
293857813278950485,10,1,2,50,22,136
9195450510899676251,44,0,0,16,0,0
3012318114155922525,9,23,106,51,0,32
7469861793917469789,13,3,25,47,7,48
7333330267233125471,11,8,71,49,15,67
4541429140843463778,50,0,3,10,3,15
7171567047166952543,0,0,0,60,13,80
7571112454384288866,8,14,56,52,0,28
1321875631128937573,10,0,0,50,0,0
1157403575331456104,8,0,0,52,0,0
7535645748838073447,11,19,82,49,0,32
1178964235062641776,2,3,30,58,7,43
7302373880548361329,9,20,83,51,3,55
7299930777087476858,57,0,0,3,13,78
7484228659551863931,9,7,33,51,6,47
4091096377044305023,12,19,82,48,4,56
2137989975826433158,1,19,82,59,4,56
1549983478030697608,53,0,0,7,13,78
6269139879097140365,6,7,37,54,6,41
4180993268559512726,6,12,47,54,6,51
7924118054613812381,12,6,27,48,6,45
125544985669731489,2,6,29,58,6,45
4200492189112894632,52,0,0,8,9,54
6961581168951657638,1,0,0,59,23,138
3135255442049860779,11,3,13,49,0,5
792489052388787373,1,23,106,59,0,32
8960391439271724203,29,0,12,31,0,4
6613902849003357359,8,19,80,52,4,58
2541838801808164018,7,19,81,53,4,57
4269406445495616695,2,7,28,58,4,38
324302037458289853,6,6,29,54,6,45
1517232373106574528,50,0,18,10,13,62
4244379278388069568,49,0,9,11,23,107
3835220596587037896,12,19,82,48,4,56
4385931885221086411,12,4,18,48,0,17
3534107175181649100,7,0,0,53,0,0
2682862745480004817,10,5,24,50,6,44
4158669911719118033,56,8,38,4,6,46
7147073759242421457,37,4,19,23,0,5
8524384268681610450,12,5,25,48,0,5
7380452304013001940,11,19,80,49,4,58
9084273254897517786,4,4,31,56,4,32
7923818250758587611,9,19,83,51,4,55
5362906248373372126,6,6,31,54,6,43
253923395862299876,52,0,2,8,1,18
1117225057788003557,8,0,0,52,0,0
8218609038569702628,47,0,3,13,15,77
6452055047078479081,58,0,0,2,0,0
921857799091881195,13,5,42,47,1,28
3479786828420678892,59,1,4,1,0,2
8099887123764774128,6,5,27,54,7,45
9058073483445175539,55,0,0,5,10,56
5545660347511407862,35,4,21,25,6,39
6639045005250299128,11,6,30,49,0,6
5003980265915974906,11,0,0,49,0,0
6885286965424096509,9,5,24,51,0,6
2022952390848873727,2,0,0,58,0,0
3728524387468313859,56,0,0,4,10,60
118180560078308617,57,8,39,3,6,38
2225237491800114444,50,0,0,10,11,67
535349685582365965,9,3,14,51,0,4
2362742112343065870,10,12,50,50,6,58
7549938997280081169,52,0,0,8,2,12
5075099231683773717,4,5,34,56,6,44
3170536964159472918,10,8,43,50,5,35
5699540654486881559,9,5,39,51,6,37
6380040368626631959,8,7,39,52,6,51
2377210718332421400,1,0,0,59,0,0
12572597046904092,3,1,8,57,2,32
4075965926992217371,57,23,96,3,0,42
6782621807755068702,37,0,0,23,0,0
5159242830714471711,11,6,30,49,0,6
6193230613892891936,11,3,20,49,1,41
2296314355990594850,1,9,42,59,6,48
2983629168699704615,6,0,27,54,3,26
6114371731641795880,54,13,54,6,6,60
8100204669004416300,56,0,0,4,12,72
7722398233697060141,5,7,32,55,6,48
3438634282433807671,5,0,0,55,0,0
7541474527066228022,52,0,0,8,13,76
1904872343838360890,15,0,4,45,8,44
4989010760013481274,12,19,82,48,4,56
8366631697653925178,9,0,0,51,0,0
7152498101137474878,59,19,82,1,4,56
1464050994304681283,10,16,68,50,0,28
6972902478379844929,57,20,83,3,3,55
207553092401694021,36,0,0,24,0,0
7240818076252669257,11,8,34,49,6,50
5862424325229086027,13,0,3,47,3,15
1425375976455079246,2,3,21,58,4,21
1050708729116493133,49,0,0,11,23,138
2190099651007677778,9,7,29,51,6,49
6308351242259465553,7,1,4,53,0,2
2953461238448293214,56,0,9,4,11,68
3648849898208232798,1,6,32,59,6,62
1268054213540185442,9,19,82,51,4,56
1260186185512093034,6,9,41,54,6,49
1529738499133900143,5,11,49,55,6,53
3812529435939210607,2,5,27,58,6,39
571462598420268401,12,4,21,48,3,19
2378834470095357297,12,0,0,48,0,0
4765299198835492208,56,5,26,4,6,35
7114762754682979701,57,0,0,3,13,78
2967049083311293817,10,8,34,50,6,48
8874647403927700855,10,0,6,50,0,10
5618202929726326138,51,0,1,9,13,53
6970809066028139896,55,0,0,5,23,116
1261100259311551870,10,19,83,50,4,55
2960630314821420416,35,6,26,25,6,44
1361326739243009411,11,2,19,49,4,23
8099747028906804612,8,8,25,52,6,33
6180038541867353479,54,0,0,6,11,92
1914838051516450190,10,5,49,50,6,41
5867942335016338829,1,0,0,59,12,74
465169154671904148,8,5,21,52,1,15
7001015127375054226,57,0,0,3,0,1
8804804544092669333,2,6,27,58,6,48
546577610472588704,59,0,9,1,23,129
2680277740070438303,56,7,29,4,6,49
4453200001850213794,42,0,0,18,0,0
3453231999163270566,10,10,41,50,7,61
8653795445027898790,54,0,0,6,10,62
2205843128130078127,49,0,0,11,11,66
1311583659343152560,11,9,42,49,6,48
3578184170068608432,54,0,0,6,13,80
1417699934190929327,56,0,0,4,12,82
899517635521217973,11,7,32,49,5,40
7535412366097548723,8,2,8,52,0,23
6611391190144124339,58,0,0,2,12,73
2361539234601960887,10,12,47,50,5,52
445481777696638394,12,0,0,48,0,0
832708516887791034,6,8,42,54,7,48
8552987355706983865,58,19,82,2,4,56
8584051373895026106,4,9,27,56,5,31
3268587436830885310,2,4,27,58,5,27
8120291281787684286,7,7,31,53,2,20
1174210677082031554,48,0,1,12,2,22
2231334637585597893,3,5,27,57,6,39
2964897505220625860,47,1,10,13,22,106
8256382913688044999,11,15,62,49,0,28
3528343852790842826,9,23,106,51,0,32
1259345490143839693,50,0,0,10,23,138
1026252971907679697,54,0,0,6,10,58
4575866415455536597,1,0,0,59,0,0
8898277162234676691,48,0,0,12,0,0
8647403561533933014,1,10,39,59,1,21
4750355509645542875,12,4,22,48,0,4
4452511061815625182,5,6,29,55,6,45
529637112805787107,31,0,0,29,0,0
2017440595302647273,11,0,0,49,0,0
613649903511143917,44,0,10,16,7,32
6208528637894526443,4,0,0,56,0,0
5147632434109515245,58,10,47,2,6,49
6576479471648441837,59,0,3,1,8,45
3457174951287490032,9,19,83,51,4,55
4980240044339856880,35,19,82,25,4,56
6471230478624228849,10,8,72,50,15,66
1784537792990807535,51,0,0,9,16,96
6119368416474334707,57,15,68,3,0,22
350127637691106807,49,11,35,11,6,35
2811106198462006775,1,0,0,59,23,138
540066285435848187,11,19,82,49,4,56
4885122260908115451,0,0,0,60,13,78
7944034839907239419,9,9,41,51,6,49
5617163336812398077,23,15,59,37,0,21
4612886666712811009,1,0,0,59,0,0
906102647776052743,53,0,0,7,8,48
7457598832917448197,10,7,32,50,5,40
4453022340796253704,0,5,27,60,6,37
387220392248313355,8,6,27,52,6,43
808041321894151693,6,5,27,54,6,39
7649568481438434829,3,5,37,57,6,41
7012029357698713102,10,0,2,50,1,18
7585867475992643089,53,0,0,7,0,0
4228217832592213525,47,0,0,13,19,114
3845681210258523671,3,20,84,57,3,54
2375113632336152089,48,0,0,12,23,138
4600218283954931228,56,0,0,4,11,66
5814035791712945692,6,0,8,54,2,6
5819319286020376093,13,19,80,47,4,58
5179831458365113887,8,5,23,52,7,49
4989915514804602407,3,4,33,57,4,32
6056054983606273575,2,10,41,58,6,55
3235085790433150505,6,20,68,54,3,24
7412069929279751721,10,0,0,50,0,0
8208082373878711853,10,7,36,50,4,30
7942275477999027758,13,0,0,47,0,0
6422142558680745524,9,0,0,51,0,0
1337082640451733051,59,0,0,1,0,0
6577171409845651001,49,0,0,11,23,138
5129745626503251515,6,19,82,54,4,56
8619642147335734844,10,4,27,50,5,27
7741809799167706685,12,19,82,48,4,56
3587177542183880255,0,0,0,60,23,138
5789640881970906690,56,0,1,4,5,29
1564463685496669766,30,1,9,30,0,1
3151564570600703560,8,7,33,52,6,45
6720481411279062605,59,19,76,1,4,62
6852489851004028493,51,0,0,9,23,138
8008584774264292942,37,8,34,23,6,50
8303308069879187020,48,0,0,12,23,138
6042547964020360785,57,0,0,3,12,82
599471361420330580,3,8,44,57,5,36
8353073148539307601,58,3,18,2,3,18
3310497186573518420,58,0,5,2,13,73
